Count,Group
0,3
0,3
0,3
430,3
0,3
0,3
0,3
0,3
0,3
38,3
0,3
0,3
0,3
0,3
1225,3
0,3
0,3
1759,3
2299,3
2978,3
0,3
914,3
334,3
555,3
0,3
1588,3
0,3
0,3
0,3
0,3
3985,3
0,3
337,3
1759,3
0,3
0,3
856,3
337,3
0,3
0,3
1225,3
0,3
31,3
0,3
149,3
0,3
2104,3
0,3
111,3
2525,3
1225,3
0,3
1,3
0,3
0,3
0,3
6,3
0,3
0,3
135,3
0,3
429,3
37,3
22,3
149,3
113,3
0,3
856,3
1354,3
0,3
0,3
429,3
0,3
111,3
0,3
0,3
31,3
1137,3
0,3
0,3
0,3
0,3
0,3
0,3
914,3
0,3
149,3
334,3
0,3
104,3
0,3
0,3
0,3
371,3
3034,3
2866,3
12,3
0,3
376,3
0,3
149,3
0,3
53,3
0,3
245,3
0,3
4497,3
12,3
2866,3
3039,3
914,3
0,3
376,3
111,3
0,3
1759,3
111,3
0,3
0,3
680,3
0,3
0,3
49,3
0,3
0,3
1225,3
914,3
0,3
29,3
0,3
0,3
0,3
0,3
0,3
0,3
2525,3
171,3
371,3
1426,3
0,3
1,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
56,3
0,3
3676,3
0,3
0,3
53,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
2416,3
0,3
0,3
0,3
0,3
0,3
16,3
0,3
108,3
0,3
4430,3
429,3
471,3
0,3
20,3
0,3
37,3
0,3
0,3
555,3
102,3
111,3
3985,3
2044,3
376,3
0,3
53,3
0,3
0,3
519,3
0,3
0,3
8,3
0,3
0,3
0,3
1,3
23,3
0,3
0,3
0,3
0,3
0,3
3725,3
0,3
1,3
0,3
149,3
914,3
0,3
1429,3
113,3
1225,3
0,3
0,3
555,3
0,3
1881,3
0,3
0,3
3676,3
0,3
331,3
0,3
0,3
0,3
276,3
2117,3
0,3
0,3
0,3
111,3
0,3
0,3
0,3
43,3
0,3
0,3
108,3
988,3
0,3
0,3
0,3
0,3
0,3
2104,3
162,3
2866,3
0,3
0,3
0,3
0,3
0,3
16,3
0,3
0,3
0,3
0,3
16,3
0,3
0,3
0,3
1018,3
149,3
0,3
0,3
0,3
0,3
0,3
59,3
0,3
919,3
0,3
0,3
0,3
0,3
471,3
68,3
376,3
0,3
0,3
0,3
0,3
1704,3
0,3
0,3
0,3
841,3
0,3
0,3
0,3
958,3
0,3
59,3
0,3
0,3
0,3
0,3
149,3
0,3
0,3
0,3
0,3
0,3
0,3
914,3
0,3
914,3
1426,3
2656,3
0,3
0,3
2656,3
2931,3
0,3
0,3
3240,3
2656,3
0,3
179,3
68,3
2416,3
0,3
1759,3
1759,3
1759,3
2656,3
626,3
0,3
1759,3
0,3
2918,3
2458,3
15,3
16,3
3523,3
0,3
0,3
68,3
0,3
739,3
0,3
59,3
4408,3
68,3
739,3
0,3
2931,3
0,3
0,3
4536,3
2299,3
3039,3
398,3
0,3
890,3
3920,3
2866,3
2603,3
8,3
0,3
949,3
64,3
0,3
0,3
380,3
103,3
2044,3
2918,3
762,3
195,3
103,3
43,3
5,3
334,3
4428,3
0,3
0,3
2249,3
0,3
0,3
1649,3
0,3
0,3
1572,3
0,3
0,3
0,3
2629,3
2629,3
0,3
0,3
0,3
0,3
0,3
4841,3
0,3
0,3
1734,3
1361,3
2347,3
0,3
0,3
867,3
0,3
0,3
0,3
0,3
73,3
156,3
0,3
0,3
0,3
1,3
2737,3
0,3
0,3
376,3
0,3
398,3
43,3
2511,3
0,3
3446,3
15,3
172,3
938,3
174,3
0,4
0,4
0,4
0,4
1650,4
110,4
