Class,Branch,Count_GA,Count_RW
com.google.javascript.jscomp.ControlFlowAnalysis,381,30,30
com.google.javascript.jscomp.ExploitAssigns,58,0,0
com.google.javascript.jscomp.ExploitAssigns,74,0,0
com.google.javascript.jscomp.ExploitAssigns,17,0,0
com.google.javascript.jscomp.ExploitAssigns,55,0,0
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax,455,0,0
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax,453,0,0
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax,597,0,0
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax,604,0,0
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax,261,0,0
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax,125,0,0
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax,160,0,0
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax,289,0,0
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax,25,0,0
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax,242,0,0
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax,4,0,0
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax,487,0,0
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax,369,0,0
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax,73,0,0
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax,343,0,0
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax,97,0,0
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax,162,0,0
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax,8,0,0
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax,311,0,0
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax,158,0,0
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax,47,0,0
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax,314,0,0
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax,287,0,0
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax,56,0,0
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax,245,0,0
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax,510,0,0
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax,57,0,0
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax,342,0,0
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax,46,0,0
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax,2,0,0
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax,70,0,0
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax,356,0,0
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax,133,0,0
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax,201,0,0
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax,190,0,0
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax,89,0,0
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax,212,0,0
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax,110,0,0
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax,539,30,27
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax,34,30,27
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax,30,30,28
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax,449,30,29
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax,439,30,29
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax,443,30,29
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax,13,30,30
com.google.javascript.jscomp.ReferenceCollectingCallback,79,0,0
com.google.javascript.jscomp.ReferenceCollectingCallback,160,0,0
com.google.javascript.jscomp.ReferenceCollectingCallback,148,0,0
com.google.javascript.jscomp.ReferenceCollectingCallback,135,0,0
com.google.javascript.jscomp.ReferenceCollectingCallback,166,5,0
com.google.javascript.jscomp.ReferenceCollectingCallback,169,0,0
com.google.javascript.jscomp.ReferenceCollectingCallback,165,0,0
com.google.javascript.jscomp.ReferenceCollectingCallback,38,0,0
com.google.javascript.jscomp.ReferenceCollectingCallback,69,0,0
com.google.javascript.jscomp.ReferenceCollectingCallback,74,0,0
com.google.javascript.jscomp.ReferenceCollectingCallback,184,1,1
com.google.javascript.jscomp.ReferenceCollectingCallback,137,28,22
com.google.javascript.jscomp.ScopedAliases,22,0,0
com.google.javascript.jscomp.ScopedAliases,10,0,0
com.google.javascript.jscomp.ScopedAliases,50,0,0
com.google.javascript.jscomp.ScopedAliases,123,0,0
com.google.javascript.jscomp.ScopedAliases,88,0,0
com.google.javascript.jscomp.ScopedAliases,58,0,0
com.google.javascript.jscomp.ScopedAliases,83,0,0
com.google.javascript.jscomp.ScopedAliases,26,30,30
com.google.javascript.rhino.jstype.RecordType,45,0,0
com.google.javascript.rhino.jstype.RecordType,75,29,1
com.google.javascript.rhino.jstype.RecordType,72,29,1
com.google.javascript.rhino.jstype.RecordType,20,29,27
com.google.javascript.rhino.jstype.RecordType,56,30,30
com.gotoservers.ftp.FtpApplet,1,30,30
com.hf.sfm.crypt.Base64,18,30,30
com.ib.client.ExecutionFilter,8,30,3
com.ib.client.ExecutionFilter,1,30,30
com.imsmart.servlet.HTMLFilter,14,30,30
com.jstevh.viewer.ClassInfo,114,0,0
com.jstevh.viewer.ClassInfo,151,2,0
com.jstevh.viewer.ClassInfo,5,0,0
com.jstevh.viewer.ClassInfo,9,0,0
com.jstevh.viewer.ClassInfo,160,1,0
com.jstevh.viewer.ClassInfo,46,30,4
com.jstevh.viewer.ClassInfo,34,30,4
com.jstevh.viewer.ClassInfo,47,30,4
com.jstevh.viewer.ClassInfo,163,30,17
com.jstevh.viewer.ClassViewer,38,0,0
com.jstevh.viewer.ClassViewer,226,0,0
com.jstevh.viewer.ClassViewer,124,0,0
com.jstevh.viewer.ClassViewer,42,0,0
com.jstevh.viewer.ClassViewer,28,0,0
com.jstevh.viewer.ClassViewer,140,0,0
com.jstevh.viewer.ClassViewer,145,0,0
com.jstevh.viewer.SAXDirParser,48,0,0
com.jstevh.viewer.SAXDirParser,60,0,0
com.jstevh.viewer.SAXDirParser,11,0,0
com.jstevh.viewer.SAXDirParser,38,0,0
com.jstevh.viewer.SAXDirParser,2,30,30
com.jstevh.viewer.SAXDirParser,51,30,30
com.jstevh.viewer.SAXDirParser,6,30,30
com.liferay.portal.kernel.servlet.filters.invoker.FilterMapping,73,0,0
com.liferay.portal.kernel.servlet.filters.invoker.FilterMapping,8,30,2
com.liferay.portal.kernel.servlet.filters.invoker.FilterMapping,57,30,25
com.liferay.portal.kernel.servlet.filters.invoker.FilterMapping,43,30,29
com.liferay.portal.kernel.servlet.filters.invoker.FilterMapping,3,30,30
com.liferay.portal.kernel.servlet.filters.invoker.FilterMapping,38,30,30
com.liferay.portal.kernel.servlet.filters.invoker.FilterMapping,80,30,30
com.liferay.portal.kernel.servlet.filters.invoker.FilterMapping,2,30,30
com.liferay.portlet.documentlibrary.model.DLSyncWrapper,17,30,30
com.liferay.portlet.documentlibrary.model.DLSyncWrapper,4,30,30
com.liferay.portlet.documentlibrary.model.DLSyncWrapper,30,30,30
com.liferay.portlet.documentlibrary.model.DLSyncWrapper,48,30,30
com.liferay.portlet.documentlibrary.model.DLSyncWrapper,27,30,30
com.lts.event.SimpleKeyListenerHelper,16,2,0
com.lts.event.SimpleKeyListenerHelper,23,8,0
com.lts.event.SimpleKeyListenerHelper,9,30,29
com.lts.io.DirectoryScanner,57,0,0
com.lts.io.DirectoryScanner,111,23,0
